State,Week,Value
Idaho,30/03/2001,0
Idaho,06/04/2001,0
Idaho,12/04/2001,0
Idaho,20/04/2001,0
Idaho,27/04/2001,0
Idaho,04/05/2001,0
Idaho,11/05/2001,0
Idaho,18/05/2001,0
Idaho,25/05/2001,0
Idaho,01/06/2001,0
Idaho,08/06/2001,0
Idaho,15/06/2001,0
Idaho,22/06/2001,0
Idaho,29/06/2001,0
Idaho,06/07/2001,0
Idaho,13/07/2001,0
Idaho,20/07/2001,0
Idaho,27/07/2001,0
Idaho,03/08/2001,0
Idaho,10/08/2001,0
Idaho,17/08/2001,0
Idaho,24/08/2001,0
Idaho,31/08/2001,0
Idaho,07/09/2001,0
Idaho,14/09/2001,0
Idaho,21/09/2001,0
Idaho,28/09/2001,0
Idaho,05/10/2001,0
Idaho,12/10/2001,0
Idaho,19/10/2001,0
Idaho,26/10/2001,0
Idaho,02/11/2001,0
Idaho,09/11/2001,0
Idaho,16/11/2001,0
Idaho,21/11/2001,0
Idaho,30/11/2001,0
Idaho,07/12/2001,0
Idaho,14/12/2001,0
Idaho,21/12/2001,0
Idaho,28/12/2001,0
Idaho,04/01/2002,0
Idaho,11/01/2002,0
Idaho,18/01/2002,0
Idaho,25/01/2002,0
Idaho,01/02/2002,0
Idaho,08/02/2002,0
Idaho,15/02/2002,0
Idaho,22/02/2002,0
Idaho,01/03/2002,0
Idaho,08/03/2002,0
Idaho,15/03/2002,0
Idaho,22/03/2002,0
Idaho,28/03/2002,0
Idaho,05/04/2002,0
Idaho,12/04/2002,0
Idaho,19/04/2002,0
Idaho,26/04/2002,0
Idaho,03/05/2002,0
Idaho,10/05/2002,0
Idaho,17/05/2002,0
Idaho,24/05/2002,0
Idaho,31/05/2002,0
Idaho,07/06/2002,0
Idaho,14/06/2002,0
Idaho,21/06/2002,0
Idaho,28/06/2002,0
Idaho,03/07/2002,0
Idaho,12/07/2002,0
Idaho,19/07/2002,0
Idaho,26/07/2002,0
Idaho,02/08/2002,0
Idaho,09/08/2002,0
Idaho,16/08/2002,0
Idaho,23/08/2002,0
Idaho,30/08/2002,0
Idaho,06/09/2002,0
Idaho,13/09/2002,0
Idaho,20/09/2002,0
Idaho,27/09/2002,0
Idaho,04/10/2002,0
Idaho,11/10/2002,0
Idaho,18/10/2002,0
Idaho,25/10/2002,0
Idaho,01/11/2002,0
Idaho,08/11/2002,0
Idaho,15/11/2002,0
Idaho,22/11/2002,0
Idaho,27/11/2002,0
Idaho,06/12/2002,0
Idaho,13/12/2002,0
Idaho,20/12/2002,0
Idaho,27/12/2002,0
Idaho,03/01/2003,0
Idaho,10/01/2003,0
Idaho,17/01/2003,0
Idaho,24/01/2003,0
Idaho,31/01/2003,0
Idaho,07/02/2003,0
Idaho,14/02/2003,0
Idaho,21/02/2003,0
Idaho,28/02/2003,0
Idaho,07/03/2003,0
Idaho,14/03/2003,0
Idaho,21/03/2003,0
Idaho,28/03/2003,0
Idaho,04/04/2003,0
Idaho,11/04/2003,0
Idaho,17/04/2003,0
Idaho,25/04/2003,0
Idaho,02/05/2003,0
Idaho,09/05/2003,0
Idaho,16/05/2003,0
Idaho,23/05/2003,0
Idaho,30/05/2003,0
Idaho,06/06/2003,0
Idaho,13/06/2003,0
Idaho,20/06/2003,0
Idaho,27/06/2003,0
Idaho,03/07/2003,0
Idaho,11/07/2003,0
Idaho,18/07/2003,0
Idaho,25/07/2003,0
Idaho,01/08/2003,0
Idaho,08/08/2003,0
Idaho,15/08/2003,0
Idaho,22/08/2003,0
Idaho,29/08/2003,0
Idaho,05/09/2003,0
Idaho,12/09/2003,0
Idaho,19/09/2003,0
Idaho,26/09/2003,0
Idaho,03/10/2003,0
Idaho,10/10/2003,0
Idaho,17/10/2003,0
Idaho,24/10/2003,0
Idaho,31/10/2003,0
Idaho,07/11/2003,0
Idaho,14/11/2003,0
Idaho,21/11/2003,0
Idaho,26/11/2003,0
Idaho,05/12/2003,0
Idaho,12/12/2003,0
Idaho,19/12/2003,0
